Code,Description
M54.01,"panniculitis affecting regions of neck and back, occipito-atlanto-axial region"
M54.02,"panniculitis affecting regions of neck and back, cervical region"
M54.03,"panniculitis affecting regions of neck and back, cervicothoracic region"
M54.04,"panniculitis affecting regions of neck and back, thoracic region"
M54.05,"panniculitis affecting regions of neck and back, thoracolumbar region"
M54.06,"panniculitis affecting regions of neck and back, lumbar region"
M54.07,"panniculitis affecting regions of neck and back, lumbosacral region"
M54.08,"panniculitis affecting regions of neck and back, sacral and sacrococcygeal region"
M54.09,"panniculitis affecting regions, neck and back, multiple sites in spine"
M54.10,"radiculopathy, site unspecified"
M54.11,"radiculopathy, occipito-atlanto-axial region"
M54.12,"radiculopathy, cervical region"
M54.13,"radiculopathy, cervicothoracic region"
M54.14,"radiculopathy, thoracic region"
M54.15,"radiculopathy, thoracolumbar region"
M54.16,"radiculopathy, lumbar region"
M54.17,"radiculopathy, lumbosacral region"
M54.18,"radiculopathy, sacral and sacrococcygeal region"
M54.2,cervicalgia
M54.30,"sciatica, unspecified side"
M54.31,"sciatica, right side"
M54.32,"sciatica, left side"
M54.40,"lumbago with sciatica, unspecified side"
M54.41,"lumbago with sciatica, right side"
M54.42,"lumbago with sciatica, left side"
M54.50,"low back pain, unspecified"
M54.51,vertebrogenic low back pain
M54.59,other low back pain
M54.6,pain in thoracic spine
M54.81,occipital neuralgia
M54.89,other dorsalgia
M54.9,"dorsalgia, unspecified"
M60.000,"infective myositis, unspecified right arm"
M60.001,"infective myositis, unspecified left arm"
M60.002,"infective myositis, unspecified arm"
M60.003,"infective myositis, unspecified right leg"
M60.004,"infective myositis, unspecified left leg"
M60.005,"infective myositis, unspecified leg"
M60.009,"infective myositis, unspecified site"
M60.011,"infective myositis, right shoulder"
M60.012,"infective myositis, left shoulder"
M60.019,"infective myositis, unspecified shoulder"
M60.021,"infective myositis, right upper arm"
M60.022,"infective myositis, left upper arm"
M60.029,"infective myositis, unspecified upper arm"
M60.031,"infective myositis, right forearm"
M60.032,"infective myositis, left forearm"
M60.039,"infective myositis, unspecified forearm"
M60.041,"infective myositis, right hand"
M60.042,"infective myositis, left hand"
M60.043,"infective myositis, unspecified hand"
M60.044,"infective myositis, right finger(s)"
M60.045,"infective myositis, left finger(s)"
M60.046,"infective myositis, unspecified finger(s)"
M60.051,"infective myositis, right thigh"
M60.052,"infective myositis, left thigh"
M60.059,"infective myositis, unspecified thigh"
M60.061,"infective myositis, right lower leg"
M60.062,"infective myositis, left lower leg"
M60.069,"infective myositis, unspecified lower leg"
M60.070,"infective myositis, right ankle"
M60.071,"infective myositis, left ankle"
M60.072,"infective myositis, unspecified ankle"
M60.073,"infective myositis, right foot"
M60.074,"infective myositis, left foot"
M60.075,"infective myositis, unspecified foot"
M60.076,"infective myositis, right toe(s)"
M60.077,"infective myositis, left toe(s)"
M60.078,"infective myositis, unspecified toe(s)"
M60.08,"infective myositis, other site"
M60.09,"infective myositis, multiple sites"
M60.10,interstitial myositis of unspecified site
M60.111,"interstitial myositis, right shoulder"
M60.112,"interstitial myositis, left shoulder"
M60.119,"interstitial myositis, unspecified shoulder"
M60.121,"interstitial myositis, right upper arm"
M60.122,"interstitial myositis, left upper arm"
M60.129,"interstitial myositis, unspecified upper arm"
M60.131,"interstitial myositis, right forearm"
M60.132,"interstitial myositis, left forearm"
M60.139,"interstitial myositis, unspecified forearm"
M60.141,"interstitial myositis, right hand"
M60.142,"interstitial myositis, left hand"
M60.149,"interstitial myositis, unspecified hand"
M60.151,"interstitial myositis, right thigh"
M60.152,"interstitial myositis, left thigh"
M60.159,"interstitial myositis, unspecified thigh"
M60.161,"interstitial myositis, right lower leg"
M60.162,"interstitial myositis, left lower leg"
M60.169,"interstitial myositis, unspecified lower leg"
M60.171,"interstitial myositis, right ankle and foot"
M60.172,"interstitial myositis, left ankle and foot"
M60.179,"interstitial myositis, unspecified ankle and foot"
M60.18,"interstitial myositis, other site"
M60.19,"interstitial myositis, multiple sites"
M60.20,"foreign body granuloma of soft tissue, not elsewhere classified, unspecified site"
M60.211,"foreign body granuloma of soft tissue, not elsewhere classified, right shoulder"
M60.212,"foreign body granuloma of soft tissue, not elsewhere classified, left shoulder"
M60.219,"foreign body granuloma of soft tissue, not elsewhere classified, unspecified shoulder"
M60.221,"foreign body granuloma of soft tissue, not elsewhere classified, right upper arm"
M60.222,"foreign body granuloma of soft tissue, not elsewhere classified, left upper arm"
M60.229,"foreign body granuloma of soft tissue, not elsewhere classified, unspecified upper arm"
M60.231,"foreign body granuloma of soft tissue, not elsewhere classified, right forearm"
M60.232,"foreign body granuloma of soft tissue, not elsewhere classified, left forearm"
M60.239,"foreign body granuloma of soft tissue, not elsewhere classified, unspecified forearm"
M60.241,"foreign body granuloma of soft tissue, not elsewhere classified, right hand"
M60.242,"foreign body granuloma of soft tissue, not elsewhere classified, left hand"
M60.249,"foreign body granuloma of soft tissue, not elsewhere classified, unspecified hand"
M60.251,"foreign body granuloma of soft tissue, not elsewhere classified, right thigh"
M60.252,"foreign body granuloma of soft tissue, not elsewhere classified, left thigh"
M60.259,"foreign body granuloma of soft tissue, not elsewhere classified, unspecified thigh"
M60.261,"foreign body granuloma of soft tissue, not elsewhere classified, right lower leg"
M60.262,"foreign body granuloma of soft tissue, not elsewhere classified, left lower leg"
M60.269,"foreign body granuloma of soft tissue, not elsewhere classified, unspecified lower leg"
M60.271,"foreign body granuloma of soft tissue, not elsewhere classified, right ankle and foot"
M60.272,"foreign body granuloma of soft tissue, not elsewhere classified, left ankle and foot"
M60.279,"foreign body granuloma of soft tissue, not elsewhere classified, unspecified ankle and foot"
M60.28,"foreign body granuloma of soft tissue, not elsewhere classified, other site"
M60.80,"other myositis, unspecified site"
M60.811,"other myositis, right shoulder"
M60.812,"other myositis, left shoulder"
M60.819,"other myositis, unspecified shoulder"
M60.821,"other myositis, right upper arm"
M60.822,"other myositis, left upper arm"
M60.829,"other myositis, unspecified upper arm"
M60.831,"other myositis, right forearm"
M60.832,"other myositis, left forearm"
M60.839,"other myositis, unspecified forearm"
M60.841,"other myositis, right hand"
M60.842,"other myositis, left hand"
M60.849,"other myositis, unspecified hand"
M60.851,"other myositis, right thigh"
M60.852,"other myositis, left thigh"
M60.859,"other myositis, unspecified thigh"
M60.861,"other myositis, right lower leg"
M60.862,"other myositis, left lower leg"
M60.869,"other myositis, unspecified lower leg"
M60.871,"other myositis, right ankle and foot"
M60.872,"other myositis, left ankle and foot"
M60.879,"other myositis, unspecified ankle and foot"
M60.88,"other myositis, other site"
M60.89,"other myositis, multiple sites"
M60.9,"myositis, unspecified"
M61.00,"myositis ossificans traumatica, unspecified site"
M61.011,"myositis ossificans traumatica, right shoulder"
M61.012,"myositis ossificans traumatica, left shoulder"
M61.019,"myositis ossificans traumatica, unspecified shoulder"
M61.021,"myositis ossificans traumatica, right upper arm"
M61.022,"myositis ossificans traumatica, left upper arm"
M61.029,"myositis ossificans traumatica, unspecified upper arm"
M61.031,"myositis ossificans traumatica, right forearm"
M61.032,"myositis ossificans traumatica, left forearm"
M61.039,"myositis ossificans traumatica, unspecified forearm"
M61.041,"myositis ossificans traumatica, right hand"
M61.042,"myositis ossificans traumatica, left hand"
M61.049,"myositis ossificans traumatica, unspecified hand"
M61.051,"myositis ossificans traumatica, right thigh"
M61.052,"myositis ossificans traumatica, left thigh"
M61.059,"myositis ossificans traumatica, unspecified thigh"
M61.061,"myositis ossificans traumatica, right lower leg"
M61.062,"myositis ossificans traumatica, left lower leg"
M61.069,"myositis ossificans traumatica, unspecified lower leg"
M61.071,"myositis ossificans traumatica, right ankle and foot"
M61.072,"myositis ossificans traumatica, left ankle and foot"
M61.079,"myositis ossificans traumatica, unspecified ankle and foot"
M61.08,"myositis ossificans traumatica, other site"
M61.09,"myositis ossificans traumatica, multiple sites"
M61.10,"myositis ossificans progressiva, unspecified site"
M61.111,"myositis ossificans progressiva, right shoulder"
M61.112,"myositis ossificans progressiva, left shoulder"
M61.119,"myositis ossificans progressiva, unspecified shoulder"
M61.121,"myositis ossificans progressiva, right upper arm"
M61.122,"myositis ossificans progressiva, left upper arm"
M61.129,"myositis ossificans progressiva, unspecified arm"
M61.131,"myositis ossificans progressiva, right forearm"
M61.132,"myositis ossificans progressiva, left forearm"
M61.139,"myositis ossificans progressiva, unspecified forearm"
M61.141,"myositis ossificans progressiva, right hand"
M61.142,"myositis ossificans progressiva, left hand"
M61.143,"myositis ossificans progressiva, unspecified hand"
M61.144,"myositis ossificans progressiva, right finger(s)"
M61.145,"myositis ossificans progressiva, left finger(s)"
M61.146,"myositis ossificans progressiva, unspecified finger(s)"
M61.151,"myositis ossificans progressiva, right thigh"
M61.152,"myositis ossificans progressiva, left thigh"
M61.159,"myositis ossificans progressiva, unspecified thigh"
M61.161,"myositis ossificans progressiva, right lower leg"
M61.162,"myositis ossificans progressiva, left lower leg"
M61.169,"myositis ossificans progressiva, unspecified lower leg"
M61.171,"myositis ossificans progressiva, right ankle"
M61.172,"myositis ossificans progressiva, left ankle"
M61.173,"myositis ossificans progressiva, unspecified ankle"
M61.174,"myositis ossificans progressiva, right foot"
M61.175,"myositis ossificans progressiva, left foot"
M61.176,"myositis ossificans progressiva, unspecified foot"
M61.177,"myositis ossificans progressiva, right toe(s)"
M61.178,"myositis ossificans progressiva, left toe(s)"
M61.179,"myositis ossificans progressiva, unspecified toe(s)"
M61.18,"myositis ossificans progressiva, other site"
M61.19,"myositis ossificans progressiva, multiple sites"
M61.20,"paralytic calcification and ossification of muscle, unspecified site"
M61.211,"paralytic calcification and ossification of muscle, right shoulder"
M61.212,"paralytic calcification and ossification of muscle, left shoulder"
M61.219,"paralytic calcification and ossification of muscle, unspecified shoulder"
M61.221,"paralytic calcification and ossification of muscle, right upper arm"
M61.222,"paralytic calcification and ossification of muscle, left upper arm"
M61.229,"paralytic calcification and ossification of muscle, unspecified upper arm"
M61.231,"paralytic calcification and ossification of muscle, right forearm"
M61.232,"paralytic calcification and ossification of muscle, left forearm"
M61.239,"paralytic calcification and ossification of muscle, unspecified forearm"
M61.241,"paralytic calcification and ossification of muscle, right hand"
M61.242,"paralytic calcification and ossification of muscle, left hand"
M61.249,"paralytic calcification and ossification of muscle, unspecified hand"
M61.251,"paralytic calcification and ossification of muscle, right thigh"
M61.252,"paralytic calcification and ossification of muscle, left thigh"
M61.259,"paralytic calcification and ossification of muscle, unspecified thigh"
M61.261,"paralytic calcification and ossification of muscle, right lower leg"
M61.262,"paralytic calcification and ossification of muscle, left lower leg"
M61.269,"paralytic calcification and ossification of muscle, unspecified lower leg"
M61.271,"paralytic calcification and ossification of muscle, right ankle and foot"
M61.272,"paralytic calcification and ossification of muscle, left ankle and foot"
M61.279,"paralytic calcification and ossification of muscle, unspecified ankle and foot"
M61.28,"paralytic calcification and ossification of muscle, other site"
M61.29,"paralytic calcification and ossification of muscle, multiple sites"
M61.30,"calcification and ossification of muscles associated with burns, unspecified site"
M61.311,"calcification and ossification of muscles associated with burns, right shoulder"
M61.312,"calcification and ossification of muscles associated with burns, left shoulder"
M61.319,"calcification and ossification of muscles associated with burns, unspecified shoulder"
M61.321,"calcification and ossification of muscles associated with burns, right upper arm"
M61.322,"calcification and ossification of muscles associated with burns, left upper arm"
M61.329,"calcification and ossification of muscles associated with burns, unspecified upper arm"
M61.331,"calcification and ossification of muscles associated with burns, right forearm"
M61.332,"calcification and ossification of muscles associated with burns, left forearm"
M61.339,"calcification and ossification of muscles associated with burns, unspecified forearm"
M61.341,"calcification and ossification of muscles associated with burns, right hand"
